dep,Zone neige 1,Zone vent 1,zone neige 2,cantons neige 2,zone neige 3,cantons neige 3,zone vent 2,cantons vent 2,zone vent 3,cantons vent 3
57,A1,2,B1,"[Albestroff, Behren-lŠs-Forbach, Chƒteau-Salins, Dieuze, F‚n‚trange, Forbach, Freyming-Merlebach, Grostenquin, R‚chicourt-le-Chƒteau, Rohrbach-lŠs-Bitche, Saint-Avold  1er Canton, Saint-Avold  2e  Canton, Sarralbe, Sarreguemines, Sarreguemines-Campagne, Stiring-Wendel, Vic-sur-Seille, Volmunster]",C1,"[Bitche, Lorquin, Phalsbourg, Sarrebourg]",2,[],2,[]
58,A1,2,A1,[],A1,[],2,[],2,[]
59,A1,3,C1,"[Avesnes-sur-Helpe-Sud, Avesnes-sur-Helpe-Nord, Hautmont, Maubeuge-Nord, Maubeuge-Sud, Tr‚lon, Solre-le-Chƒteau]",C1,[],2,"[Arleux, Anzin, Avesnes-sur-Helpe-Nord, Avesnes-sur-Helpe-Sud, Bavay, Berlaimont, Bouchain, Cambrai-Est, Cambrai-Ouest, CarniŠres, Cateau-Cambr‚sis, Clary, Cond‚-sur-l'Escaut, Denain, Douai-Nord, Douai-Sud-Ouest, Douai-Sud, Douai-Nord-Est, Hautmont, Landrecies, Marchiennes, Marcoing, Maubeuge-Nord, Maubeuge-Sud, Solre-le-Chƒteau, Orchies, Quesnoy-Est, Quesnoy-Ouest, Saint-Amand-les-Eaux-Rive droite, Saint-Amand-les-Eaux-Rive gauche, Solesmes, Tr‚lon, Valenciennes-Est, Valenciennes-Nord, Valenciennes-Sud]",2,[]
60,A1,2,A1,[],A1,[],2,[],2,[]
61,A1,2,A1,[],A1,[],2,[],2,[]
62,A1,3,A1,[],A1,[],2,"[Bapaume, Bertincourt, Croisilles, Marquion, Vitry-en-Artois]",2,[]
63,A2,2,A2,[],A2,[],2,[],2,[]
64,A2,2,A2,[],A2,[],2,[],2,[]
65,A2,1,A2,[],A2,[],1,[],1,[]
66,D,3,C2,"[Mont-Louis, Olette, Saillagouse]",C2,[],3,[],3,[]
67,C1,2,B1,"[Drulingen, Sarre-Union]",B1,[],2,[],2,[]
68,C1,2,C1,[],C1,[],2,[],2,[]
69,A2,2,A2,[],A2,[],2,[],2,[]
70,B1,2,C1,"[Champagney, Faucogney-et-la-Mer, H‚ricourt, Lure-Sud, Lure-Nord, M‚lisey, Villersexel]",C1,[],1,"[Autrey-lŠs-Gray, Champlitte, Dampierre-sur-Salon, Fresne-Saint-MamŠs, Gray, Gy, Marnay, Montbozon, Pesmes, Rioz, Scey-sur-Sa“ne-et-Saint-Albin]",1,[]
71,A2,2,B1,"[Beaurepaire-en-Bresse, Cuiseaux, Cuisery, Louhans, Montpont-en-Bresse, Montret, Pierre-de-Bresse, Saint-Germain-du-Bois, Tournus]",B1,[],2,[],2,[]
72,A1,2,A1,[],A1,[],2,[],2,[]
73,C2,1,E,"[Aiguebelle, Aime, Albertville-Nord, Albertville-Sud, Beaufort, Bourg-Saint-Maurice, Bozel, Chƒtelard, Chambre, Chamoux-sur-Gelon, Gr‚sy-sur-IsŠre, Lanslebourg-Mont-Cenis, Modane, Mo–tiers, Saint-Jean-de-Maurienne, Saint-Michel-de-Maurienne, Saint-Pierre-d'Albigny, Rochette, Ugine]",E,[],1,[],1,[]
74,C2,1,E,"[Alby-sur-Ch‚ran, Annemasse-Nord,Annemasse-Sud, Bo‰ge, Cruseilles, Frangy, Douvaine, Reignier, Rumilly, Saint-Julien-en-Genevois, Seyssel]",E,[],1,[],1,[]
75,A1,2,A1,[],A1,[],2,[],2,[]
76,A1,2,A1,[],A1,[],3,"[Bacqueville-en-Caux, Blangy-sur-Bresle, Cany-Barville, Eu, Dieppe-Est, Dieppe-Ouest, Envermeu, Fontaine-le-Dun, Offranville, Saint-Valery-en-Caux]",3,[]
77,A1,2,A1,[],A1,[],2,[],2,[]
78,A1,2,A1,[],A1,[],2,[],2,[]
79,A1,2,A1,[],A1,[],2,[],2,[]
80,A1,3,A1,[],A1,[],2,"[Ailly-sur-Noye, Albert, Bray-sur-Somme, Chaulnes, Combles, Ham, Montdidier, Moreuil, Nesle, P‚ronne, Roisel, RosiŠres-en-Santerre, Roye]",2,[]
81,A2,2,C2,"[Dourgne, LabruguiŠre, Mazamet-Nord-Est, Mazamet-Sud-Ouest, Saint-Amans-Soult]",C2,[],1,"[Cadalen, Castelnau-de-Montmiral, Cordes-sur-Ciel, Gaillac, Graulhet, Lavaur, Lisle-sur-Tarn, Rabastens, Saint-Paul-Cap-de-Joux, Salvagnac, Vaour]",1,[]
82,A2,1,A2,[],A2,[],1,[],1,[]
83,A2,2,C2,"[Barjols, Besse-sur-Issole, Brignoles, Cotignac, Fr‚jus, Grimaud, Lorgues, Luc, Muy, Saint-Maximin-la-Sainte-Baume, Saint-Rapha‰l, Saint-Tropez]",C2,[],2,[],2,[]
84,B2,2,C2,[Valr‚as],C2,[],2,[],2,[]
85,A1,3,A1,[],A1,[],3,[],3,[]
86,A1,1,A1,[],A1,[],1,[],1,[]
87,A2,1,A2,[],A2,[],1,[],1,[]
88,C1,2,A2,"[Bulgn‚ville, Chƒtenois, Coussey, Lamarche, Mirecourt, Neufchƒteau, Vittel]",B1,"[Bains-les-Bains, BruyŠres, Charmes, Chƒtel-sur-Moselle, Darney, Dompaire, pinal-Est, pinal-Ouest, Monthureux-sur-Sa“ne, PlombiŠres-les-Bains, Rambervillers, Remiremont, Xertigny]",2,[],2,[]
89,A1,2,A1,[],A1,[],2,[],2,[]
90,C2,2,C2,[],C2,[],2,[],2,[]
91,A1,2,A1,[],A1,[],2,[],2,[]
92,A1,2,A1,[],A1,[],2,[],2,[]
93,A1,2,A1,[],A1,[],2,[],2,[]
94,A1,2,A1,[],A1,[],2,[],2,[]
95,A1,2,A1,[],A1,[],2,[],2,[]
